country,nmcountry
afghanistan,afghanistan
ajman,ajman
albania,albanie
algeria,algerie
andorra,andorre
angola,angola
argentina,argentine
armenia,armenie
aruba,aruba
australia,australie
austria,autriche
austrian empire,autriche-habsbourg
austrian netherlands,austrian-netherlands
azerbaijan,azerbaidjan
azores,acores
bahamas,bahamas
bahrain,bahrein
bangladesh,bangladesh
barbados,barbade
baroda,baroda_princely
belarus,bielorussie
belgian congo,congo_belge
belgian congo and ruanda-urundi,ruanda-urundi
belgium,belgique
belize,belize
bermuda,bermudes
bhutan,bhoutan
bohemia and moravia,boheme_moravie
bolivia,bolivie
bosnia and herzegovina,bosnie-herzegovine
botswana,botswana
brazil,bresil
british east caribbean territories,oeco
british guiana,guyana
british honduras,british_honduras_period
british north borneo,borneo
british virgin islands,iles_vierges_britanniques
british west africa,afrique_occidentale_britannique
brunei,brunei
bulgaria,bulgarie
burundi,burundi
cambodia,cambodge
cameroon,cameroun
canada,canada
cape verde,cap-vert
cayman islands,iles_caimanes
central african states,beac
ceylon,ceylon_period
chihuahua,chihuahua_revolution
chile,chili
"china, peoples republic",chine
"china, republic of",chine_republique
cocos (keeling) islands,cocos
colombia,colombie
comores,comores
comoros,comores
congo,congo_leopoldville_period
"congo, democratic republic",democratic_republic_congo_period
cook islands,iles_cook
costa rica,costa_rica
croatia,croatie
cuba,cuba
curacao,curacao
cyprus,chypre
czech republic,republique_tcheque
czechoslovakia,tchecoslovaquie
danish west indies,danish_west_indies_period
danzig,dantzig
denmark,danemark
djibouti,djibouti_period
dominican republic,republique_dominicaine
east africa,afrique_de_l_est
east africa and uganda,afrique_de_l_est
east caribbean states,oeco
east timor,timor_oriental_period
ecuador,equateur
egypt,egypte
el salvador,salvador
equatorial african states,beac
equatorial guinea,guinee_equatoriale
eritrea,erythree
estonia,estonie
ethiopia,ethiopie
falkland islands,iles_malouines
fiji,fidji
finland,finlande
france,france
french equatorial africa,aef
french indo-china,indochine
french oceania,etablissements_francais_oceanie_period
french polynesia,french_polynesia_period
french somaliland,french_somaliland_period
french west africa,aof
gabon,gabon
gambia,gambie
geneva,geneva_section
georgia,georgie
german east africa,afrique_orientale_allemande
germany,allemagne
germanypre45,allemagne-pre1945
"germany, democratic republic",ddr
ghana,ghana
gibraltar,gibraltar
greece,grece
guadeloupe,guadeloupe
guatemala,guatemala
guernsey,guernesey
guinea,guinee
guinea-bissau,guinee_bissau
guyana,guyana
haiti,haiti
honduras,honduras
hong kong,hong_kong
hungary,hongrie
iceland,islande
italy,italie
india,inde
british india,inde_britannique
indonesia,indonesie
iran,iran
iraq,irak
ireland,irlande
isle of man,ile_de_man
israel,israel
jamaica,jamaique
japan,japon
jersey,jersey
jordan,jordanie
katanga,katanga
kazakhstan,kazakhstan
kenya,kenya
kiribati,kiribati
"korea, north",coree_du_nord
"korea, south",coree_du_sud
kuwait,koweit
kyrgyzstan,kirghizistan
laos,laos
latvia,lettonie
lebanon,liban
lesotho,lesotho
liberia,liberia
libya,libye
lithuania,lituanie
luxembourg,luxembourg
macau,macao
macedonia,macedoine
madagascar,madagascar
malawi,malawi
maldives,maldives
malaya,malaya
malaya and british borneo,malaya_borneo
malaysia,malaisie
mali,mali_period
malta,malte
manchukuo,manchoukuo
mauritania,mauritanie
mauritius,maurice
moldova,moldavie
monaco,monaco
mongolia,mongolie
montenegro,montenegro
morocco,maroc
mozambique,mozambique
mexico,mexique
muscat and oman,muscat_and_oman
myanmar,myanmar
nagorno-karabakh,haut-karabagh
namibia,namibia_period
nepal,nepal
netherlands,pays-bas
netherlands antilles,antilles_neerlandaises
netherlands east indies,netherland_east_indies
new brunswick,new_brunswick_province
new caledonia,nouvelle-caledonie
new guinea,nouvelle_guinee
new hebrides,new_hebrides_period
new zealand,nouvelle-zelande
newfoundland,newfoundland
nicaragua,nicaragua
nigeria,nigeria
norway,norvege
nova scotia,nova_scotia_province
oman,oman
pakistan,pakistan
palestine,palestine
panama,panama
papua new guinea,papouasie-nouvelle-guinee
paraguay,paraguay
peru,perou
philippines,philippines
poland,pologne
portugal,portugal
portuguese guinea,portuguese-guinea
portuguese india,inde_portugaise
prince edward island,pei_province
prussia,prussia_kingdom
qatar,qatar
qatar and dubai,qatar-et-dubai
reunion,reunion_period
rhodesia,rhodesie
rhodesia and nyasaland,rhodesie_et_nyassaland
romania,roumanie
ruanda urundi,congo_belge
russia,russia_section
rwanda,rwanda
rwanda-burundi,rwanda-burundi
saarland,sarre
saint helena and acension,sainte-helene_ascension
saint pierre and miquelon,st-pierre-et-miquelon
saint thomas and principe,sao_tome-et-principe
samoa,samoa
san marino,saint-marin
sarawak,sarawak
saudi arabia,saudi-arabia-period
serbia,serbie
seychelles,seychelles
sierra leone,sierra_leone
singapore,singapour
slovakia,slovaquie
slovenia,slovenie
solomon islands,iles_salomon
somalia,somalie
somaliland,somaliland
south africa,afrique_du_sud
south arabia,arabie_sud
southern rhodesia,rhodesie_du_sud
spain,espagne
taiwan,taiwan
thailand,thailande
tonga,tonga
united kingdom,royaume-uni
united states,etats-unis
